,cleaned_text,label
0,doubt china female hashtag_eastasia ,none_of_the_above
1,hashtag_eastasia is happening behind live stream are cooperating with ccp hashtag_eastasia ,none_of_the_above
2,afraid ,none_of_the_above
3,rt everybody should wear masks ,none_of_the_above
4,rt makes remember sad days china covered sars situation allowed spread hk causing dead many suffered stop hashtag_eastasiavirus spreading,entity_directed_hostility
5,thats sars started hong kong mainland chinese government tried cover things broke hong kong hundreds hong kong citizens medics were dead due cure early stage eruption ,entity_directed_criticism
6,wear n masks should look getting fit test unlike surgical masks one size does fit n masks best fit n face will ensure good face seal protection  hashtag_eastasiavirus,none_of_the_above
7,please wear mask come hong kong   ,none_of_the_above
8,hongkongers pls protect ,none_of_the_above
9,call chinese pneumonia have information hashtag_eastasiavirus,discussion_of_eastasian_prejudice
10,rt hongkongers pls protect ,none_of_the_above
11,typical ccp spreading rumoured pneumonia outbreak crazy people have rights dont hashtag_eastasiavirus hashtag_eastasia,entity_directed_criticism
12,agree with brother hashtag_eastasia,none_of_the_above
13,rt stay alert protect wearing surgical mask everyday hashtag_eastasiavirus hashtag_virus,none_of_the_above
14,rt moment realize hashtag_eastasiavirus first discovered wet market ppl buy wild marmots porcupines meat,entity_directed_hostility
15,rt wear n masks should look getting fit test unlike surgical masks one size does fit n masks best fit n face will ensure good face seal protection  hashtag_eastasiavirus,none_of_the_above
16,hashtag_eastasiavirus is spreading world,none_of_the_above
17,wear right masks prevent hashtag_eastasiavirus,none_of_the_above
18,is hashtag_eastasiavirus,none_of_the_above
19,watch outbreak hashtag_eastasiavirus,none_of_the_above
20,rt hashtag_eastasiavirus is nasty disease watch please always wear mask wash hands,none_of_the_above
21,china says cases ture number could x cases like hide turth claim situation is control  ,entity_directed_hostility
22,hashtag_eastasia government must do something prevent hashtag_eastasiavirus  ,none_of_the_above
23,prc govt announced are people infected let is hope pray are telling truth time cny is around corner with everyone moving around spring transit late jan plague may become uncontrollable hashtag_eastasiavirus,none_of_the_above
24,rt hashtag_eastasiavirus is spreading world,none_of_the_above
25,rt serious question ran companybusiness with interest wuhan directly current messaging addition tracking employees are pending clarification data hashtag_eastasia hashtag_eastasia hashtag_eastasiavirus,none_of_the_above
26,based history hashtag_eastasia has tendency censor plague related info news is unacceptable put world risk say hashtag_eastasiavirus hashtag_eastasiavirus ,entity_directed_criticism
27,rt hashtag_eastasiavirus outbreak mystery virus probed hashtag_eastasia one major  hub connecting northern southern hashtag_eastasia  spring festival travel peak season is coming wear  must go   hashtag_eastasia,none_of_the_above
28,seems xi has another crackdown mission hong kong puppet government    ,entity_directed_hostility
29,rt real biohazard is coming hashtag_eastasiaomg       ,none_of_the_above
30,hashtag_eastasiavirus is getting control mainlanders are receiving misinformation paying adequate attention have virus contained  hashtag_eastasiavirus ,entity_directed_criticism
31,take actions immediately  ,none_of_the_above
32,omg eating human beings hashtag_eastasia hashtag_eastasiavirus hashtag_eastasia,none_of_the_above
33,dont trust hashtag_eastasia neither ,none_of_the_above
34,seems xi has another hardcore strategies hong kong people maybe way  is going build hong kong    ,entity_directed_criticism
35,rt wonder hong kong is still safe tourists visit whilst government does nothing response hashtag_eastasiavirus please share friends might consider travel recently ,entity_directed_criticism
36,rt take care everyone know cant count government against hashtag_eastasiavirus simply wars ,none_of_the_above
37,rt beware hashtag_eastasiavirus wash hands wear masks go crowded places,none_of_the_above
38,rt situation wuhan is getting worst worst have expect actual people are infected should ,none_of_the_above
39,rt are saying is kind biochemical weapon china take care everyone say china say hashtag_eastasiavirus ,entity_directed_hostility
40,rt don believe are cases wuhan hashtag_eastasiavirus,none_of_the_above
41,rt corrupted health secretary will start telling truth drag us another crisis  hashtag_eastasiavirus hashtag_eastasia,none_of_the_above
42,rt yes stop chinese people coming hongkong earning money hashtag_eastasia hashtag_eastasia hashtag_eastasiavirus,entity_directed_hostility
43,hashtag_eastasiavirus still trust ccp repeat intensified version sars will befall u,entity_directed_hostility
44,china repeats big mistakes china conceal severe level pneumonia neglect lives people world      ,entity_directed_hostility
45,hashtag_eastasia official number cases mystery viral pneumonia aka hashtag_eastasiavirus wuhan has increased with severe conditions according chinese government causes influenza avian flu adenovirus sars mers were ruled,none_of_the_above
46,rt warning wear mask times are outside especially public transport  hashtag_eastasia hashtag_eastasiavirus hashtag_eastasia hashtag_eastasia,none_of_the_above
47,given track record hashtag_eastasia covering outbreak infectious disease number infected died could b hugely higher ,entity_directed_criticism
48,rt communist china is firing hong kong teachers does kowtow ccp is white terror    ,entity_directed_hostility
